Basel Temperature,Basel Relative Humidity,Basel Wind Speed
10.670529,84,12.245294
10.230529,86,8.350138
9.980529,85,4.829907
9.320529,84,5.0142193
9.400529,81,3.671294
9.780529,82,2.2768397
9.980529,83,3.6
9.880529,84,6.489992
10.130529,81,9.021574
11.080529,76,10.163227
13.190529,71,8.557102
15.280529,60,12.758432
16.37053,55,14.84318
18.12053,51,10.182337
18.95053,48,9.885262
19.430529,45,9.885262
19.440529,45,9.47012
19.13053,47,9.47012
18.160528,52,8.557102
16.990528,58,9.021574
15.380529,65,7.8954163
14.250529,69,8.707237
13.290529,74,7.754637
12.970529,76,8.049845
12.560529,77,8.587338
12.260529,79,8.404285
12.280529,77,5.0911684
12.130529,78,1.9386592
12.180529,78,5.5887027
12.630529,77,9
12.980529,79,6.1305785
13.520529,80,11.874544
13.580529,75,14.512064
14.340529,76,9.659814
15.700529,78,3.8773184
17.79053,74,10.703569
19.430529,66,23.084955
18.100529,75,5.1919937
19.940529,70,10.829959
20.510529,67,18.089775
20.22053,67,19.559633
20.000528,67,19.201874
19.260529,69,17.873556
18.740528,70,16.946787
18.260529,72,15.034041
18.21053,75,15.827721
17.96053,76,18.59845
17.240528,80,18.345877
17.350529,81,20.545246
17.270529,83,12.7279215
17.610529,79,14.618837
17.96053,77,18.678415
17.89053,78,19.33639
17.63053,79,18.388212
18.010529,77,21.461555
18.12053,75,26.00486
9.430529,83,23.469128
9.910529,92,13.441071
12.080529,84,12.594856
13.160529,80,11.119281
14.080529,76,5.495161
16.420528,56,11.246759
16.350529,53,10.691453
16.160528,53,10.009036
16.530529,51,9
16.32053,50,8.669949
15.380529,52,8.4963045
15.110529,51,7.24486
14.430529,54,2.4149535
13.270529,59,5.1919937
12.200529,64,3.8268526
11.500529,67,2.4149535
10.720529,69,4.452954
9.990529,72,4.8965297
9.820529,72,4.5820518
9.400529,74,3.319036
9.0505295,75,4.072935
8.910529,75,4.6938257
8.640529,76,4.39436
8.520529,76,4.198285
9.480529,76,2.5455842
11.380529,71,3.4152596
13.070529,67,2.1897945
14.900529,58,0.8049845
15.980529,51,2.1897945
18.580528,48,9.531505
19.32053,45,13.797912
19.39053,44,16.039202
19.05053,45,16.946787
18.360529,47,15.111424
17.06053,51,11.013882
15.600529,57,8.28
14.510529,61,7.10031
13.120529,67,8.435069
10.990529,76,9.83268
10.320529,75,9
10.130529,75,8.311245
